turf_id,scientific_name,common_name_spanish,common_name_english,aphia_id
MX_C_060,Callinectes spp,JAIBA,NA,NA
MX_C_199,Callinectes spp,JAIBA,NA,NA
MX_C_210,Callinectes spp,JAIBA,NA,NA
MX_C_208,Callinectes spp,JAIBA,NA,NA
MX_C_201,Callinectes spp,JAIBA,NA,NA
MX_C_199,Cardisoma guanhumi,CANGREJO AZUL,NA,NA
MX_C_201,Cardisoma guanhumi,CANGREJO AZUL,NA,NA
MX_C_022,Crassostrea iridescens,OSTION DE ROCA,NA,NA
MX_C_027,Crassostrea iridescens,OSTION DE ROCA,NA,NA
MX_C_026,Crassostrea iridescens,OSTION DE ROCA,NA,NA
MX_C_211,Crassostrea virginica,OSTION AMERICANO,NA,NA
MX_C_199,Crassostrea virginica,OSTION AMERICANO,NA,NA
MX_C_196,Crassostrea virginica,OSTION AMERICANO,NA,NA
MX_C_193,Crassostrea virginica,OSTION AMERICANO,NA,NA
MX_C_203,Crassostrea virginica,OSTION AMERICANO,NA,NA
MX_C_209,Crassostrea virginica,OSTION AMERICANO,NA,NA
MX_C_205,Crassostrea virginica,OSTION AMERICANO,NA,NA
MX_C_201,Crassostrea virginica,OSTION AMERICANO,NA,NA
MX_C_052,Gelidium,ALGAS MARINAS,NA,NA
MX_C_052,Gelidium,ALGAS MARINAS,NA,NA
MX_C_052,Gelidium,ALGAS MARINAS,NA,NA
MX_C_052,Gelidium,ALGAS MARINAS,NA,NA
MX_C_007,Gelidium robustum,SARGAZO ROJO,NA,NA
MX_C_007,Gelidium robustum,SARGAZO ROJO,NA,NA
MX_C_007,Gelidium robustum,SARGAZO ROJO,NA,NA
MX_C_007,Gelidium robustum,SARGAZO ROJO,NA,NA
MX_C_007,Gelidium robustum,SARGAZO ROJO,NA,NA
MX_C_007,Gelidium robustum,SARGAZO ROJO,NA,NA
MX_C_007,Gelidium robustum,SARGAZO ROJO,NA,NA
MX_C_007,Gelidium robustum,SARGAZO ROJO,NA,NA
MX_C_007,Gelidium robustum,SARGAZO ROJO,NA,NA
MX_C_007,Gelidium robustum,SARGAZO ROJO,NA,NA
MX_C_007,Gelidium robustum,SARGAZO ROJO,NA,NA
MX_C_007,Gelidium robustum,SARGAZO ROJO,NA,NA
MX_C_007,Gelidium robustum,SARGAZO ROJO,NA,NA
MX_C_007,Gelidium robustum,SARGAZO ROJO,NA,NA
MX_C_007,Gelidium robustum,SARGAZO ROJO,NA,NA
MX_C_007,Gelidium robustum,SARGAZO ROJO,NA,NA
MX_C_007,Gelidium robustum,SARGAZO ROJO,NA,NA
MX_C_007,Gelidium robustum,SARGAZO ROJO,NA,NA
MX_C_007,Gelidium robustum,SARGAZO ROJO,NA,NA
MX_C_007,Gelidium robustum,SARGAZO ROJO,NA,NA
MX_C_007,Gelidium robustum,SARGAZO ROJO,NA,NA
MX_C_007,Gelidium robustum,SARGAZO ROJO,NA,NA
MX_C_007,Gelidium robustum,SARGAZO ROJO,NA,NA
MX_C_018,Gelidium robustum,SARGAZO ROJO,NA,NA
MX_C_031,Gelidium robustum,SARGAZO ROJO,NA,NA
MX_C_032,Gelidium robustum,SARGAZO ROJO,NA,NA
MX_C_024,Haliotis corrugata,ABULON AMARILLO,NA,NA
MX_C_024,Haliotis flugens,ABULON AZUL,NA,NA
MX_C_009,Haliotis spp.,ABULON,NA,NA
MX_C_025,Haliotis spp.,ABULON,NA,NA
MX_C_022,Haliotis spp.,ABULON,NA,NA
MX_C_018,Haliotis spp.,ABULON,NA,NA
MX_C_031,Haliotis spp.,ABULON,NA,NA
MX_C_032,Haliotis spp.,ABULON,NA,NA
MX_C_029,Haliotis spp.,ABULON,NA,NA
MX_C_041,Litopenaeus stylirostris,CAMARON AZUL,NA,NA
MX_C_037,Litopenaeus stylirostris,CAMARON AZUL,NA,NA
MX_C_003,Litopenaeus stylirostris,CAMARON AZUL,NA,NA
MX_C_051,Litopenaeus stylirostris,CAMARON AZUL,NA,NA
MX_C_047,Litopenaeus stylirostris,CAMARON AZUL,NA,NA
MX_C_210,Macrobrachium carcinus,LANGOSTINO,NA,NA
MX_C_210,Macrobrachium spp.,ACAMAYA,NA,NA
