sub_id,turf_id,coop,state,species,common_name_spanish,scientific_name,common_name_english,aphia_id
9_1,MX_C_009,S.C.P.P. 19 DE SEPTIEMBRE,BC,ABULON (Haliotis spp.),ABULON,Haliotis spp.,Abalone,138050
9_1,MX_C_009,S.C.P.P. 19 DE SEPTIEMBRE,BC,LANGOSTA (Panulirus spp.),LANGOSTA,Panulirus spp.,Lobster,107060
9_1,MX_C_009,S.C.P.P. 19 DE SEPTIEMBRE,BC,ALMEJA PISMO (Tlvela stuitorum),ALMEJA PISMO,Tivela stultorum,Pismo Clam,367761
9_1,MX_C_009,S.C.P.P. 19 DE SEPTIEMBRE,BC,ALMEJA PATA DE MULA,ALMEJA PATA DE MULA,Anadara tuberculosa,Black Ark Clam,504313
7_33,MX_C_007,AGARMEX,BC,SARGAZO ROJO (Gelidium robustum),SARGAZO ROJO,Gelidium robustum,Red Algae,372718
7_32,MX_C_007,AGARMEX,BC,SARGAZO ROJO (Gelidium robustum),SARGAZO ROJO,Gelidium robustum,Red Algae,372718
7_31,MX_C_007,AGARMEX,BC,SARGAZO ROJO (Gelidium robustum),SARGAZO ROJO,Gelidium robustum,Red Algae,372718
7_3,MX_C_007,AGARMEX,BC,SARGAZO ROJO (Gelidium robustum),SARGAZO ROJO,Gelidium robustum,Red Algae,372718
7_3,MX_C_007,AGARMEX,BC,SARGAZO ROJO (Gelidium robustum),SARGAZO ROJO,Gelidium robustum,Red Algae,372718
7_29,MX_C_007,AGARMEX,BC,SARGAZO ROJO (Gelidium robustum),SARGAZO ROJO,Gelidium robustum,Red Algae,372718
7_28,MX_C_007,AGARMEX,BC,SARGAZO ROJO (Gelidium robustum),SARGAZO ROJO,Gelidium robustum,Red Algae,372718
7_2,MX_C_007,AGARMEX,BC,SARGAZO ROJO (Gelidium robustum),SARGAZO ROJO,Gelidium robustum,Red Algae,372718
7_2,MX_C_007,AGARMEX,BC,SARGAZO ROJO (Gelidium robustum),SARGAZO ROJO,Gelidium robustum,Red Algae,372718
7_14,MX_C_007,AGARMEX,BC,SARGAZO ROJO (Gelidium robustum),SARGAZO ROJO,Gelidium robustum,Red Algae,372718
8_1,MX_C_008,S.C.P.P. COLONIA VICENTE GUERRERO,BC,ALMEJA PISMO (Tlvela stuítorum),ALMEJA PISMO,Tivela stultorum,Pismo Clam,367761
7_13,MX_C_007,AGARMEX,BC,SARGAZO ROJO (Gelidium robustum),SARGAZO ROJO,Gelidium robustum,Red Algae,372718
7_12,MX_C_007,AGARMEX,BC,SARGAZO ROJO (Gelidium robustum),SARGAZO ROJO,Gelidium robustum,Red Algae,372718
